Date,Water Usage,Temperature,Water Cost,Gas Usage,Gas Cost
2023-07-01 00:00:00.000000,56.0,39.0,0.05768,0.2188664545867688,0.2875905213270142
2023-07-02 00:00:00.000000,51.0,38.0,0.05253,0.1900538856067,0.24973080568720382
2023-07-03 00:00:00.000000,56.0,40.0,0.05768,0.22904628968382781,0.30096682464454977
2023-07-04 00:00:00.000000,57.0,42.0,0.058710000000000005,0.25385963773290915,0.33357156398104265
2023-07-05 00:00:00.000000,60.0,39.0,0.0618,0.234499772771538,0.30813270142180094
2023-07-06 00:00:00.000000,51.0,41.0,0.05253,0.21786664935402192,0.28627677725118483
2023-07-07 00:00:00.000000,60.0,41.0,0.0618,0.2563137051223787,0.33679620853080566
2023-07-08 00:00:00.000000,48.0,40.0,0.049440000000000005,0.1963253911575667,0.25797156398104265
2023-07-09 00:00:00.000000,55.0,39.0,0.056650000000000006,0.21495812504057651,0.28245497630331756
2023-07-10 00:00:00.000000,47.0,40.0,0.04841,0.19223527884178407,0.25259715639810426
2023-07-11 00:00:00.000000,49.0,41.0,0.05047,0.20932285918327598,0.2750502369668246
2023-07-12 00:00:00.000000,51.0,42.0,0.05253,0.22713757060312925,0.29845876777251185
2023-07-13 00:00:00.000000,50.0,41.0,0.051500000000000004,0.21359475426864896,0.28066350710900473
2023-07-14 00:00:00.000000,50.0,41.0,0.051500000000000004,0.21359475426864896,0.28066350710900473
2023-07-15 00:00:00.000000,48.0,40.0,0.049440000000000005,0.1963253911575667,0.25797156398104265
2023-07-16 00:00:00.000000,49.0,38.0,0.05047,0.18260079205349605,0.23993744075829382
2023-07-17 00:00:00.000000,52.0,39.0,0.05356,0.2032331364019996,0.2670483412322275
2023-07-18 00:00:00.000000,51.0,42.0,0.05253,0.22713757060312925,0.29845876777251185
2023-07-19 00:00:00.000000,48.0,41.0,0.049440000000000005,0.205050964097903,0.2694369668246445
2023-07-20 00:00:00.000000,50.0,42.0,0.051500000000000004,0.2226838927481659,0.29260663507109
2023-07-21 00:00:00.000000,53.0,39.0,0.05459,0.2071414659481919,0.27218388625592416
2023-07-22 00:00:00.000000,51.0,42.0,0.05253,0.22713757060312925,0.29845876777251185
2023-07-23 00:00:00.000000,48.0,39.0,0.049440000000000005,0.1875998182172304,0.24650616113744075
2023-07-24 00:00:00.000000,53.0,38.0,0.05459,0.1975069791599039,0.2595241706161137
2023-07-25 00:00:00.000000,52.0,39.0,0.05356,0.2032331364019996,0.2670483412322275
2023-07-26 00:00:00.000000,46.0,38.0,0.047380000000000005,0.17142115172369018,0.2252473933649289
2023-07-27 00:00:00.000000,54.0,42.0,0.05562,0.24049860416801921,0.31601516587677725
2023-07-28 00:00:00.000000,54.0,40.0,0.05562,0.22086606505226253,0.290218009478673
2023-07-29 00:00:00.000000,52.0,41.0,0.05356,0.2221385444393949,0.29189004739336494
2023-07-30 00:00:00.000000,46.0,40.0,0.047380000000000005,0.1881451665260014,0.24722274881516587
2023-07-31 00:00:00.000000,45.0,39.0,0.04635,0.1758748295786535,0.2310995260663507
2023-08-01 00:00:00.000000,46.0,40.0,0.047380000000000005,0.1881451665260014,0.24722274881516587
2023-08-02 00:00:00.000000,52.0,41.0,0.05356,0.2221385444393949,0.29189004739336494
2023-08-03 00:00:00.000000,47.0,40.0,0.04841,0.19223527884178407,0.25259715639810426
2023-08-04 00:00:00.000000,54.0,39.0,0.05562,0.2110497954943842,0.2773194312796209
2023-08-05 00:00:00.000000,50.0,40.0,0.051500000000000004,0.20450561578913198,0.26872037914691943
2023-08-06 00:00:00.000000,48.0,38.0,0.049440000000000005,0.1788742452768941,0.23504075829383886
2023-08-07 00:00:00.000000,55.0,41.0,0.056650000000000006,0.23495422969551386,0.3087298578199052
2023-08-08 00:00:00.000000,53.0,39.0,0.05459,0.2071414659481919,0.27218388625592416
2023-08-09 00:00:00.000000,53.0,39.0,0.05459,0.2071414659481919,0.27218388625592416
2023-08-10 00:00:00.000000,46.0,37.0,0.047380000000000005,0.16305914432253457,0.21425971563981044
2023-08-11 00:00:00.000000,46.0,41.0,0.047380000000000005,0.19650717392715703,0.25821042654028437
2023-08-12 00:00:00.000000,54.0,37.0,0.05562,0.19141725637862753,0.25152227488151657
2023-08-13 00:00:00.000000,50.0,40.0,0.051500000000000004,0.20450561578913198,0.26872037914691943
